Município;UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
Plácido de Castro;AC;2019;10;4880.2;2059.66;0;IPVA;FUNDEB;
Plácido de Castro;AC;2019;10;387.07;75.67;0;ITCMD;FUNDEB;
Plácido de Castro;AC;2019;10;72836.09;85459.44;0;ICMS;FUNDEB;
Plácido de Castro;AC;2019;10;68638.68;21861;0;DEDU;FUNDEB;
Plácido de Castro;AC;2019;10;169963.25;56278.61;0;FPE;FUNDEB;
Porto Acre;AC;2019;10;12641.77;0;0;CIDE/Combustível;CIDE-Combustíveis;
Porto Acre;AC;2019;10;31110.81;10301.48;0;FPM;FUNDEB;
Porto Acre;AC;2019;10;79.19;31.8;0;IPI-EXP;FUNDEB;
Porto Acre;AC;2019;10;0;0;0;COUN;FUNDEB;
Porto Acre;AC;2019;10;0;0;0;LC 87;FUNDEB;
Porto Acre;AC;2019;10;590.87;17.02;0;ITR;FUNDEB;
Porto Acre;AC;2019;10;5457.61;2303.36;0;IPVA;FUNDEB;
Porto Acre;AC;2019;10;432.86;84.63;0;ITCMD;FUNDEB;
Porto Acre;AC;2019;10;81454.05;95571;0;ICMS;FUNDEB;
Porto Acre;AC;2019;10;68608.92;21974.54;0;DEDU;FUNDEB;
Porto Acre;AC;2019;10;190073.3;62937.49;0;FPE;FUNDEB;
Porto Walter;AC;2019;10;8337.6;0;0;CIDE/Combustível;CIDE-Combustíveis;
Porto Walter;AC;2019;10;40318.88;13350.47;0;FPM;FUNDEB;
Porto Walter;AC;2019;10;102.63;41.21;0;IPI-EXP;FUNDEB;
Porto Walter;AC;2019;10;0;0;0;COUN;FUNDEB;
Porto Walter;AC;2019;10;0;0;0;LC 87;FUNDEB;
Porto Walter;AC;2019;10;765.75;22.06;0;ITR;FUNDEB;
Porto Walter;AC;2019;10;7072.91;2985.12;0;IPVA;FUNDEB;
Porto Walter;AC;2019;10;560.98;109.67;0;ITCMD;FUNDEB;
Porto Walter;AC;2019;10;105562.55;123857.79;0;ICMS;FUNDEB;
Porto Walter;AC;2019;10;43856.15;14509.55;0;DEDU;FUNDEB;
Porto Walter;AC;2019;10;246330.59;81565.52;0;FPE;FUNDEB;
Rio Branco;AC;2019;10;110113.42;0;0;CIDE/Combustível;CIDE-Combustíveis;
Rio Branco;AC;2019;10;300196.37;99401.67;0;FPM;FUNDEB;
Rio Branco;AC;2019;10;764.15;306.83;0;IPI-EXP;FUNDEB;
Rio Branco;AC;2019;10;0;0;0;COUN;FUNDEB;
Rio Branco;AC;2019;10;0;0;0;LC 87;FUNDEB;
Rio Branco;AC;2019;10;5701.43;164.23;0;ITR;FUNDEB;
Rio Branco;AC;2019;10;52661.94;22225.82;0;IPVA;FUNDEB;
Rio Branco;AC;2019;10;4176.81;816.59;0;ITCMD;FUNDEB;
Rio Branco;AC;2019;10;785971.7;922189.9;0;ICMS;FUNDEB;
Rio Branco;AC;2019;10;1851951.45;609730.9;0;DEDU;FUNDEB;
Rio Branco;AC;2019;10;1834067.67;607300.52;0;FPE;FUNDEB;
Rio Branco;AC;2019;10;2113.95;437.64;0;CFM;Royalties;
Rodrigues Alves;AC;2019;10;12714.87;0;0;CIDE/Combustível;CIDE-Combustíveis;
Rodrigues Alves;AC;2019;10;47867.74;15850.07;0;FPM;FUNDEB;
Rodrigues Alves;AC;2019;10;121.85;48.92;0;IPI-EXP;FUNDEB;
Rodrigues Alves;AC;2019;10;0;0;0;COUN;FUNDEB;
Rodrigues Alves;AC;2019;10;0;0;0;LC 87;FUNDEB;
Rodrigues Alves;AC;2019;10;909.12;26.19;0;ITR;FUNDEB;
Rodrigues Alves;AC;2019;10;8397.21;3544.01;0;IPVA;FUNDEB;
Rodrigues Alves;AC;2019;10;666.01;130.21;0;ITCMD;FUNDEB;
Rodrigues Alves;AC;2019;10;125326.94;147047.59;0;ICMS;FUNDEB;
Rodrigues Alves;AC;2019;10;65829.01;21872.82;0;DEDU;FUNDEB;
Rodrigues Alves;AC;2019;10;292450.85;96836.97;0;FPE;FUNDEB;
Santa Rosa do Purus;AC;2019;10;5705.43;0;0;CIDE/Combustível;CIDE-Combustíveis;
Santa Rosa do Purus;AC;2019;10;28460.68;9423.95;0;FPM;FUNDEB;
Santa Rosa do Purus;AC;2019;10;72.45;29.09;0;IPI-EXP;FUNDEB;
Santa Rosa do Purus;AC;2019;10;0;0;0;COUN;FUNDEB;
Santa Rosa do Purus;AC;2019;10;0;0;0;LC 87;FUNDEB;
Santa Rosa do Purus;AC;2019;10;540.54;15.57;0;ITR;FUNDEB;
Santa Rosa do Purus;AC;2019;10;4992.7;2107.16;0;IPVA;FUNDEB;
Santa Rosa do Purus;AC;2019;10;395.99;77.42;0;ITCMD;FUNDEB;
Santa Rosa do Purus;AC;2019;10;74515.5;87429.92;0;ICMS;FUNDEB;
Santa Rosa do Purus;AC;2019;10;32864.5;10882.16;0;DEDU;FUNDEB;
Santa Rosa do Purus;AC;2019;10;173882.19;57576.25;0;FPE;FUNDEB;
Sena Madureira;AC;2019;10;24425.94;0;0;CIDE/Combustível;CIDE-Combustíveis;
Sena Madureira;AC;2019;10;66443.29;22000.85;0;FPM;FUNDEB;
