"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor total"
2023-08-01,"Malhada dos Bois","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Malhador","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"Maruim","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Moita Bonita","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"Monte Alegre de Sergipe","FPM","FPM",771665.3,176121.77,407641.57,1355428.64
2023-08-01,"Muribeca","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Neópolis","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Nossa Senhora Aparecida","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Nossa Senhora da Glória","FPM","FPM",1388997.55,317019.18,733754.81,2439771.54
2023-08-01,"Nossa Senhora das Dores","FPM","FPM",1080331.42,246570.47,570698.2,1897600.09
2023-08-01,"Nossa Senhora de Lourdes","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Nossa Senhora do Socorro","FPM","FPM",4876141.61,1112910.82,2575880.98,8564933.41
2023-08-01,"Pacatuba","FPM","FPM",771665.3,176121.77,407641.57,1355428.64
2023-08-01,"Pedra Mole","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Pedrinhas","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Pinhão","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Pirambu","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Poço Redondo","FPM","FPM",1234664.49,281794.83,652226.5,2168685.82
2023-08-01,"Poço Verde","FPM","FPM",1080331.42,246570.47,570698.2,1897600.09
2023-08-01,"Porto da Folha","FPM","FPM",1080331.42,246570.47,570698.2,1897600.09
2023-08-01,"Propriá","FPM","FPM",1080331.42,246570.47,570698.2,1897600.09
2023-08-01,"Riachão do Dantas","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Riachuelo","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"Ribeirópolis","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Rosário do Catete","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"Salgado","FPM","FPM",925998.37,211346.13,489169.88,1626514.38
2023-08-01,"Santa Luzia do Itanhy","FPM","FPM",771665.3,176121.77,407641.57,1355428.64
2023-08-01,"Santa Rosa de Lima","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Santana do São Francisco","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Santo Amaro das Brotas","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"São Cristóvão","FPM","FPM",2314995.91,528365.3,1222924.69,4066285.9
2023-08-01,"São Domingos","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"São Francisco","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"São Miguel do Aleixo","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Simão Dias","FPM","FPM",1388997.55,317019.18,733754.81,2439771.54
2023-08-01,"Siriri","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Telha","FPM","FPM",462999.19,105673.07,244584.94,813257.2
2023-08-01,"Tobias Barreto","FPM","FPM",1697663.66,387467.89,896811.44,2981942.99
2023-08-01,"Tomar do Geru","FPM","FPM",617332.25,140897.42,326113.26,1084342.93
2023-08-01,"Umbaúba","FPM","FPM",1080331.33,246570.52,570698.25,1897600.1
